log_forks,log_open_issues,repo_age_days,repo_age_years,days_since_last_push,topic_count,has_topics,has_description,description_length,has_license,language,forks_per_year,issues_per_year,popularity_class
1.791759469228055,0.0,1073.82,2.9399589322381927,1043.552673611111,0,0,1,46,1,Python,1.7007040286081467,0.0,0
3.4011973816621555,1.6094379124341003,1799.576701388889,4.92697248840216,1175.3944328703703,0,0,1,98,1,Python,5.885967512151633,0.8118575878829839,0
2.1972245773362196,3.6635616461296463,1316.7906365740741,3.60517628083251,964.5388078703704,5,1,1,271,1,Python,2.219031574831241,10.540399980448393,0
3.258096538021482,1.0986122886681098,2612.161736111111,7.151709065328162,388.70626157407406,10,1,1,53,1,Python,3.4956679265941104,0.27965343412752885,0
3.1354942159291497,0.0,1716.5186574074073,4.699571957309808,592.4216435185185,13,1,1,98,1,Python,4.681277401398389,0.0,0
4.770684624465665,2.0794415416798357,1513.1774189814814,4.14285398762897,835.0086689814815,0,0,0,0,0,Python,28.241400819187742,1.6896564592676426,0
6.040254711277414,5.3706380281276624,560.3313657407407,1.5341036707480922,0.2351388888888889,0,0,1,28,1,Python,273.12365388949127,139.495135876733,0
7.180069874302796,2.302585092994046,3426.9669907407406,9.382524273075266,3426.9528819444445,3,1,1,76,0,Python,139.83443706775213,0.9592301323245191,0
5.869296913133774,3.044522437723423,3097.4552662037036,8.480370338682283,1256.4520601851852,7,1,1,112,1,Python,41.62554061935586,2.3583875705017485,0
5.135798437050262,3.6109179126442243,2051.2602430555557,5.616044471062438,751.5927430555555,7,1,1,36,1,Python,30.092354302178226,6.410205650168143,0
5.214935757608986,2.4849066497880004,632.3663888888889,1.731324815575329,0.021608796296296296,8,1,1,86,1,Python,105.69940334343794,6.353516047966215,0
5.808142489980444,2.5649493574615367,2748.725034722222,7.5255989999239485,18.910324074074072,0,0,1,44,1,Python,44.116089629988934,1.5945574565056242,0
5.424950017481403,4.709530201312334,3001.378738425926,8.217327141480974,913.0563773148148,15,1,1,67,1,Python,27.50286024991686,13.386347909251569,0
6.091309882077698,4.59511985013459,3702.0158217592593,10.135566931579081,4.598252314814815,19,1,1,25,0,Python,43.510146297390584,9.66892139942013,0
5.313205979041787,2.995732273553991,2950.5616203703703,8.078197454812786,1092.0095023148149,9,1,1,122,1,Python,25.005578426367073,2.352009851985022,0
5.41610040220442,2.5649493574615367,980.1899421296297,2.6836138045985756,644.1715625,4,1,1,178,1,Python,83.46953634541566,4.471582304218696,0
6.023447592961033,2.5649493574615367,3556.9178819444446,9.738310422845844,1363.1333217592592,3,1,1,58,1,Python,42.30713358997654,1.2322466094167923,0
6.068425588244111,4.875197323201151,2057.177835648148,5.632245956599995,928.3681597222222,10,1,1,38,1,Python,76.52364675142503,23.08137837049943,0
5.91350300563827,5.572154032177765,2505.5528703703703,6.859829898344614,12.762430555555556,20,1,1,53,1,Python,53.79142128422828,38.1933668738965,0
5.37989735354046,4.04305126783455,2324.8039583333334,6.364966347250742,0.9049537037037036,11,1,1,169,1,Python,33.9357646554248,8.798161206961984,0
5.220355825078324,0.0,689.5957986111111,1.8880104000304208,18.789386574074076,16,1,1,52,1,Python,97.4570902771697,0.0,0
4.962844630259907,2.0794415416798357,573.167962962963,1.5692483585570514,495.310625,11,1,1,73,1,Python,90.48918179565358,4.460734313870247,0
5.318119993844216,4.543294782270004,3603.8966435185184,9.866931262199914,3.549513888888889,11,1,1,135,0,Python,20.573772595101616,9.425422913026848,0
5.187385805840755,3.5553480614894135,1794.769236111111,4.913810365807286,761.9448842592593,15,1,1,80,1,Python,36.224434145568935,6.919273937917661,0
5.60947179518496,3.784189633918261,2261.2585069444444,6.190988383147007,765.6883333333334,0,0,1,95,1,Python,43.93482642293972,6.945579177155912,0
6.513230110912307,3.2188758248682006,3339.229490740741,9.142312089639264,1496.1785532407407,4,1,1,105,0,Python,73.6137634989176,2.6251564992184586,0
5.58724865840025,3.6109179126442243,4793.669444444445,13.124351661723326,448.7729513888889,0,0,1,79,1,Python,20.267667832749325,2.7429926390187056,0
4.912654885736052,4.0943445622221,4404.740567129629,12.059522428828554,2656.8230092592594,0,0,1,20,1,Python,11.194473147400888,4.892399375530759,0
5.730099782973574,3.1780538303479458,492.87347222222223,1.349414023880143,11.648935185185184,0,0,1,178,1,Python,227.50615790789217,17.044435283001693,0
5.198497031265826,2.70805020110221,2294.4314004629628,6.281810815778132,1063.4081712962964,0,0,1,54,0,Python,28.654158057082984,2.228656737773121,0
0.0,0.0,456.16372685185183,1.2489082186224554,443.0723263888889,0,0,1,184,1,Python,0.0,0.0,0
6.5998704992128365,3.295836866004329,169.9129513888889,0.46519630770400794,157.09331018518517,0,0,0,0,1,Python,1577.8285163583557,55.89038341323876,0
5.365976015021851,2.833213344056216,1422.132974537037,3.893587883742743,899.0776388888889,0,0,1,71,1,Python,54.70532741519938,4.109320369216855,0
4.343805421853684,0.6931471805599453,661.0615046296297,1.8098877607929629,0.8643981481481482,8,1,1,202,1,Python,41.99155419820191,0.552520449976341,0
5.771441123130016,3.6888794541139363,3139.5988773148147,8.595753257535426,1811.7277314814814,0,0,1,50,1,Python,37.227685627140765,4.537124185807781,0
6.78332520060396,4.127134385045092,3013.6623611111113,8.250957867518443,1656.5114930555555,0,0,1,58,1,Python,106.8966796536643,7.393081019130977,0
6.182084906716632,4.1588830833596715,3310.8161226851853,9.064520527543285,1661.8473148148148,5,1,1,48,1,Python,53.2846716527769,6.950174563405683,0
5.10594547390058,5.1298987149230735,1057.3297106481482,2.8948109805561892,809.2001041666666,0,0,1,46,1,Python,56.65309448580652,58.03487727814326,0
4.465908118654584,1.791759469228055,12.807314814814815,0.03506451694678936,2.9259953703703703,0,0,1,60,1,Python,2452.6218379253755,142.59429290263813,0
6.148468295917647,7.242082359256962,4284.626689814815,11.7306685552767,0.02880787037037037,5,1,1,89,1,Python,39.81017772341148,119.00430000403088,0
5.662960480135946,4.543294782270004,722.2964467592593,1.977539895302558,63.12890046296296,0,0,1,56,1,Python,145.12981542457823,47.02812834315601,0
5.552959584921617,4.04305126783455,2898.547384259259,7.935790237533906,271.1283564814815,6,1,1,69,1,Python,32.384928571381224,7.0566381322854035,0
4.356708826689592,3.4657359027997265,5090.804224537037,13.937862353284153,200.28207175925925,9,1,1,30,1,Python,5.524520048216478,2.2241574220092315,0
5.225746673713202,2.0794415416798357,1432.8172569444444,3.922839854741805,850.7221296296296,5,1,1,89,1,Python,47.1597125680208,1.784421556627814,0
5.1298987149230735,2.0794415416798357,91.31128472222223,0.24999667275077952,1.0244791666666666,0,0,1,98,1,Python,672.0089437649372,28.000372656872383,0
4.890349128221754,2.772588722239781,397.6135185185185,1.0886064846502903,1.8952430555555555,9,1,1,87,1,Python,121.25593762414925,13.779083820926052,0
5.996452088619021,0.0,5198.029907407407,14.231430273531574,1310.5213657407407,7,1,1,262,1,Python,28.177069506907024,0.0,0
6.361302477572996,2.0794415416798357,4044.9732291666664,11.074533139402236,447.46061342592594,7,1,1,60,1,Python,52.19181637043694,0.632080821095257,0
6.194405391104672,4.477336814478207,3379.7247453703703,9.253182054402108,1250.607650462963,0,0,1,40,1,Python,52.84668529431593,9.402171003283202,0
5.993961427306569,3.784189633918261,2961.7600925925926,8.108857200801076,2444.1848263888887,8,1,1,92,1,Python,49.328775941508,5.30284341371211,0
5.030437921392435,3.258096538021482,2160.740208333333,5.915784280173397,2.530787037037037,8,1,1,54,1,Python,25.693972734845016,4.225982357704772,0
5.673323267171493,4.762173934797756,2389.63912037037,6.54247534666768,1.6338425925925926,10,1,1,43,1,Python,44.32573064989958,17.730292259959835,0
5.631211781821365,2.6390573296152584,2927.35349537037,8.014657071513676,239.50943287037038,0,0,1,100,1,Python,34.6864497781308,1.6220282270348936,0
5.135798437050262,0.0,39.22233796296296,0.10738490886505944,21.24802083333333,11,1,1,234,1,Python,1573.7779338469848,0.0,0
5.62040086571715,1.0986122886681098,685.0561921296296,1.8755816348518264,5.948391203703704,0,0,1,92,1,Python,146.62118400499554,1.0663358836726948,0
5.3612921657094255,2.0794415416798357,1517.656099537037,4.155115946713312,654.6426851851852,8,1,1,92,1,Python,51.02144024830199,1.684670196877896,0
4.219507705176107,4.77912349311153,1119.9437152777778,3.0662387824169137,0.18052083333333332,9,1,1,69,1,Python,21.850874884306407,38.483630393256064,0
5.556828061699537,3.9318256327243257,1775.4871180555556,4.861018803711309,1036.7423148148148,11,1,1,55,1,Python,53.07529355842467,10.285909604345866,0
6.194405391104672,2.8903717578961645,2347.129247685185,6.426089658275661,1586.1968634259258,19,1,1,39,1,Python,76.09604378461401,2.645465734843432,0
5.303304908059076,2.772588722239781,1248.6191319444445,3.4185328732222984,20.13900462962963,0,0,1,80,1,Python,58.504629739447445,4.387847230458559,0
5.332718793265369,3.6109179126442243,600.8108680555556,1.644930508023424,49.85252314814815,4,1,1,77,1,Python,125.23325392483179,21.88542301599002,0
5.1647859739235145,3.2188758248682006,338.2314236111111,0.9260271693664918,142.8350810185185,3,1,1,135,1,Python,187.89945452576285,25.91716614148453,0
5.3471075307174685,4.430816798843313,3382.6618865740743,9.261223508758588,769.8757870370371,5,1,1,82,1,Python,22.567212615303266,8.962098789809431,0
5.476463551931511,3.828641396489095,910.1782407407408,2.4919322128425483,331.4333101851852,5,1,1,110,1,Python,95.5082159833366,18.05827613130314,0
6.284134161070802,3.9318256327243257,3133.662604166667,8.579500627424139,882.5762152777778,1,1,1,118,1,Python,62.35794170699017,5.827845019344875,0
5.645446897643238,4.290459441148391,872.7327777777778,2.389412122594874,0.9836921296296296,14,1,1,56,1,Python,118.02066179096441,30.132934925352615,0
4.465908118654584,5.3612921657094255,836.2838773148148,2.2896204717722513,1.7961111111111112,0,0,1,61,1,Python,37.56081021298382,92.59176471107638,0
5.659482215759621,6.20455776256869,3843.2027199074073,10.522115591806728,4.799212962962963,11,1,1,141,1,Python,27.180845667833193,46.948733426257334,0
5.10594547390058,4.02535169073515,3191.673854166667,8.738326773899157,1025.6843402777777,5,1,1,48,1,Python,18.767895072298952,6.294111152295381,0
5.337538079701318,0.0,2136.5886226851853,5.849660842396127,922.9303125,4,1,1,43,1,Python,35.386666949943894,0.0,0
